Year,Brand,Model Tier,OS,Network Type,Dual Sim,Has5G,Battery_mAh,ScreenSize_in,RAM_GB,StorageGB,Camera_MP,Weight_g,CPU_GHz,Resolution_MP,PriceClass
2017, Samsung!,MIDRANGE ,ANDROID ,4g ,No,no !,3582,5.8,8,256,16,254,2.39,4.71,1
2015,Oppo,Budget,Android,4G ,Yes ,No,2079,4.75,2,32,8,210,1.3,1.44,0
2020,Nokia,Budget, Android,4G,No,No,2753,5.44,6,32,32,243,2.36,3.36,1
2021, Apple,Budget,iOS,4g*,No,No,3342,5.54,3,128,32,235,2.28,3.66,0
2020,Motorola,Budget,Android,4g *,Yes, No,2825,5.73,4,64,48,250,1.65,3.87,0
2024,Apple, budget,iOS,4G, No ,No,3710,5.99,8,128,32,216,2.42,4.09,2
2021, xiaomi ,Budget,Android,4G,No,No,2984,5.22,4,128,48,208,2.27,4.02,1
2019,Oppo,Budget,Android,4g,Yes,No,3280,5.04,4,32,32,234,2.0,4.24,1
2020,Xiaomi,Midrange,Android,4G,yes ,No,3433,5.88,6,128,32,252,2.72,4.85,2
2022,Google,Midrange,Android,5G,YES,Yes,3857,6.06,6,256,48,234,2.38,5.25,2
2017,Motorola,Midrange,Android,4G,Yes,No,2810,6.03,4,256,48,244,2.09,2.95,1
2018, Xiaomi,Budget,ANDROID,4G,Yes,No,2777,4.96,4,64,24,246,1.5,2.85,0
2022,Apple, Budget !,iOS,4G ,No, No,3161,5.32,6,128,48,245,2.4,4.24,2
2019, Oppo*,MIDRANGE,ANDROID, 4g,No,No,3518,6.24,6,128,48,256,1.77,4.43,1
2024,OnePlus,Midrange,Android,4g ,Yes, No$,4184,6.91,8,256,48,257,3.0,5.95,3
2016,OnePlus,Flagship,Android,3G, YES,NO,3359,6.02,4,256,48,260,2.82,4.79,2
2020,Apple,Budget,iOS,4G,No,No,2753,5.26,6,64,32,207,2.03,2.57,0
2017,Vivo,Budget,Adroid,4G, yes,No,2343,5.58,6,64,16,229,2.06,2.88,0
2020,Huawei,Midrange,HarmonyOS,4G , yes, NO,3321,6.23,8,128,48,260,2.26,4.21,2
NA,Apple,Buget, iOS ,4G,No, No,2942,5.07,4,128,16,255,2.2,3.45,0
2017,Huawei,Midrange,android,4G,Yes, No,3663,5.37,6,128,24,231,2.17,3.77,1
2021,Vivo,Budget,Android,4G,Yes,No,2972,5.91,6,128,32,260,1.57,4.12,0
2018,Huawei,Flagship,Android,4G,Yes,no,3854,5.82,8,256,32,254,2.53,4.57,2
2020,Samsung#, Midrange,Android,4G,Yes,NO!,4052,5.71,6,256,32,260,1.92,4.83,2
2021,Apple,Midrange ,ios,4G,No,No,3508,6.14,8,128,48,239,2.45,4.44,3
NA,Vivo,Midrange, ndroid,4G, YES,No ,3778,6.25,8,128,64,253,2.64,5.55,2
2022,Apple, Budget !,iOS,4G ,No,No,3775,6.38,6,128,32,260,2.3,3.47,1
2022,Nokia,Bdget,Android , 4G,Yes,NA,3298,6.01,6,128,NA,246,2.08,3.23,1
2015,Google,Flagship,Android,3G,Yes,No,3610,6.11,6,128,24,260,2.72,4.02,1
2024,Google,Flagship,Android,5G,No,Yes,4955,6.93,12,256,64,258,3.42,7.2,3
2017,Motorola, budget #,Android,4G ,Yes,No,2786,5.06,4,32,16,199,1.56,2.37,0
2023,Nokia,Flagship,Android,5G,No,Yes ,4166,6.98,12,256,64,260,3.53,5.85,3
2016,APPLE,Midrange,iOS,3G,No, No ,2864,5.79,3,128,32,253,2.38,2.92,1
2018,Oppo,Flagship,ANDROID,4G,YES*,No ,4637,5.85,8,256,NA,249,2.91,6.26,3
2020,aple,Flagship,iOS,4G,No,No,3800,5.9,8,256,48,NA,3.01,5.6,2
2019,OnePlus $,BUDGET,ANDROID#,4G,No,No,2729,5.37,3,128,24,224,2.08,3.2,0
2020,Google, IDRANGE ,Android,4G,No,No#,3236,5.86,6,256,32,258,2.09,4.39,2
2015, vivo ,Midrange,Android,3G,Yes, NO,2324,4.75,2,64,8,229,2.18,2.99,0
2015,Sony, Budget*,Android,4G,No, No,2010,4.9,2,64,12,215,1.64,2.3,0
2020,xiaomi,Budget,Android,4G,Yes,No,3050,5.58,4,32,24,260,1.96,3.54,0
2024,Apple,Flagship,iOS,5G,No, YES,4783,6.62,12,256,64,260,3.19,6.85,3
2019,Samsung,Midrange,Android,4G ,No,NA,3196,5.72,6,128,24,260,2.57,3.94,2
2024,Xiaomi,Budget,Android,5G,yes,Yes,3488,6.05,8,128,48,248,2.13,4.93,1
2019,OnePlus,Budget ,Android,4G,Yes, No ,3668,5.44,6,128,48,229,2.11,4.36,0
2022, oppo , Midrange,Android,4G,No,No,3350,6.05,8,128,48,240,2.69,4.91,1
2021,Samsung,Budget,Android,4G ,Yes , No,3536,5.65,6,64,24,260,2.17,2.34,0
2016,Oppo,Budget,Android, 4G,Yes, NO,2917,5.47,2,32,8,231,1.2,1.57,0
2020,Huawei,BUDGET ,HarmonyOS*,4G,No,No,3388,NA,4,32,32,229,1.87,2.32,0
2017, ONEPLUS,NA,Android,4G,Yes,No,3045,5.52,6,64,24,259,2.54,2.98,1
2024, APPLE,Midrange,iOS,4G,No,no!,4324,6.3,12,256,64,255,2.66,6.36,3
2017,Apple,Budget,iOS,3G,No,No,2586,5.22,4,128,24,204,1.38,2.95,0
2024,Xiaomi,Budget,android,5G,Yes,Yes,3506,6.38,6,256,64,217,2.09,4.26,1
2019,Google,Budget,Android , 4G ,Yes,No,3085,5.55,4,128,32,217,2.19,3.67,1
2023,Google,Flagship,Android,4G,Yes, No#,4014,6.58,12,256,64,248,2.79,6.54,3
NA, Sony$,Midrange,Android,4G,Yes,No,2988,5.84,8,128,32,260,2.26,3.67,1
2021,OnePlus,Budget,Android, 4G,No,No,3238,5.97,4,64,32,256,1.84,3.88,0
2022,Google,Flagship,Android,5G,Yes ,Yes $,4141,6.53,12,256,64,253,2.9,5.65,3
2019,Samsung,Flagship,Android,4G, Yes,No,4328,6.29,6,256,48,260,2.85,5.23,3
2021,Sony,Midrange,Android,4G, ye $, No #,4297,6.2,8,256,64,238,2.4,4.9,3
2016, amsung,Midrange,Android,3G,Yes,No,2445,5.58,6,128,16,243,1.81,3.07,1
2018,Vivo,Midrange,Android,4G , Yes , NO,2904,5.63,8,128,48,236,2.36,3.77,1
2020,Vivo,Fagship,Android,4G,yes$,No,NA,6.25,6,256,64,260,2.35,5.93,3
NA,Xiaomi,Midrange,Android,4G,Yes,No,3543,5.69,8,256,48,228,2.4,5.56,3
2019,Oppo,Midrange,Android,4G,yes,NO,3183,5.45,4,256,48,238,2.27,4.2,1
2024,google ,Budget,Android,5G,No,Yes,3685,6.37,6,128,32,226,2.13,4.81,2
2016,Apple,Budget,iOS,3G,No,No,2624,4.64,2,64,12,221,1.61,2.72,0
2022,Motorola,Budget,Android,4G,Yes!,No,3441,6.17,4,NA,48,260,2.18,3.65,0
2015,Xiaomi,FLAGSHIP ,Android,4G,No$,No,2633,4.74,4,256,48,247,2.46,4.66,2
2021,Vivo,Midrange,Android,4G,Yes,No,3078,6.04,8,256,48,249,2.25,4.72,2
2016,Huawei,Budget,HarmonyOS,4G,Yes, no,2976,5.13,3,32,24,211,1.63,2.83,0
2023,vivo,FLAGSHIP ,ANDROID,5G,no,Yes,4193,6.78,12,256,64,260,3.18,6.93,3
2018, Vivo,Budget ,Android,4G, YES, no ,2562,4.98,4,32,32,NA,1.63,2.52,0
2018,Samsung,Budget,Android,4G,Yes,No,2687,4.97,3,128,16,233,1.63,2.15,0
2017,Nokia,Midrnge,android,4G,Yes, No,3510,5.29,6,64,12,251,1.89,4.01,0
2019,Google,Budget, android,4G,Yes, NO*,3788,5.72,4,64,16,250,2.07,3.83,0
2024,Samsung,Flagship,android ,5G,Yes,Yes,4290,6.58,12,256,64,253,3.19,6.33,3
2016,Xiaomi,Midrange,Android,4G ,no,No,2775,4.68,6,128,24,229,2.0,2.31,1
2019,google,Midrange,Android ,4G ,Yes, No $,3181,5.62,8,256,32,236,2.67,2.98,2
2023,Vivo,Midrange,Android,5G,Yes,Yes,3349,5.93,8,256,48,229,2.47,5.97,3
2024,Oppo,Midrange,Android, 5G,Yes,Yes,4301,6.6,12,256,64,259,3.1,5.94,3
2018,Xiaomi,Budget,Android $,4G,yes!, No,2757,4.73,3,64,24,215,1.71,3.2,0
2019,Sony, Flagship,Android,4G ,Yes ,No,3263,6.43,8,128,48,260,3.17,5.33,3
2022,sony,Budget,Android,4G,Yes#,No,3238,6.46,8,128,32,260,2.16,4.65,2
2018,Xiaomi,Budget,Android,4G,Yes,No,3573,5.19,2,32,32,217,1.59,4.14,0
2024,Xiaomi,Midrange,Android ,5G, YES, Yes ,4064,5.99,8,256,48,257,2.86,5.78,3
2016,Samsung, Budget,ANDROID,3G,Yes,No,2418,4.97,4,32,16,213,1.7,1.48,0
2017,Sony,Midrange,Android,4G,Yes,No,3197,5.32,6,256,NA,260,2.14,4.54,1
2016,oppo,flagship $, Android ,4G,No,No,3593,5.54,8,256,32,260,2.81,NA,2
2017,Google,Flagship ,Android,3G,Yes,No,3790,5.68,8,256,48,227,1.95,6.02,2
2023,NOKIA,Midrange,Android,4g ,No,No,4297,6.78,12,256,48,236,2.75,5.83,3
2021,Samsung,Midrange,ANDROID ,4g ,Yes,No,3506,5.96,8,256,64,219,2.03,4.26,3
2020, xiaomi,Midrange,Android,4G,No,No,3073,5.75,8,64,48,251,2.27,5.17,2
2022,Samsung,Midrange,android ,4G,No,No,3827,5.96,8,128,64,241,2.49,5.42,2
2019, Appl ,Budget,IOS ,4G,NO,No,2592,5.34,4,64,12,225,1.75,3.51,0
2021,Motorola , Budget,Android,4G,Yes,No,3550,6.19,NA,64,48,260,2.18,3.59,0
2020,Huawei, budget ,android,4G, Yes,No,2995,5.14,6,32,32,217,2.31,2.48,1
2016, xiaomi , Midrange,android ,4G ,No,No,3444,5.62,4,128,32,249,2.22,4.55,1
2019, sony,Budget,Android,4G,no,No,2882,5.35,6,32,32,244,1.88,3.63,1
2021,OnePlus,Budget,Android,4g,Yes,No !,3608,5.38,4,256,48,207,2.28,3.64,2
2020,Sony,Flaghip,Android, 4g ,yes,No,4134,6.22,8,256,64,228,3.01,4.81,3
2022,Vivo,Midrange,Android,4G,Yes,no,3553,6.75,8,256,48,244,2.67,5.46,3
2023,GOOGLE,Budget,Android,4G,Yes,No,3471,5.81,8,64,48,252,2.37,4.5,2
2022,Vivo,Midrange,Android, 5G ,Yes,Yes,4798,6.32,8,256,64,230,2.07,5.04,3
2018,OnePlus,Budget !, Android , 4G,No,No ,1835,4.9,2,128,16,227,1.59,2.77,0
2016,Xiaomi,Budget,ANDROID,4G,Yes,No,2907,5.17,2,32,12,240,1.86,2.24,0
2021,OnePlus,Budget,Android,4G,Yes,No#,3427,6.01,6,128,32,251,2.92,3.72,1
2018,Apple,Budget,iOS,4G,No,No,2765,5.34,3,128,24,246,1.44,2.34,0
2017,Samsung,NA,Android,4G,No,NO,2764,5.39,6,128,48,241,2.03,4.14,2
2024,Oppo,flagship,Android,5G,Yes,Yes ,4305,6.89,12,256,64,255,3.6,6.58,3
2018,Vivo,Midrange,Android,4G,No,No,3402,6.03,6,128,32,244,1.95,4.17,1
2018,OnePlus,Midrange,Android,4G,No,No,3168,6.0,6,64,16,260,2.22,4.03,1
2018,Apple,Midrange,iOS,4g*,No,No ,3462,5.58,6,128,48,243,1.96,3.96,2
2017,XIAOMI#,Midrange,ANDROID ,4G,Yes,No,3067,6.06,4,128,32,243,2.04,3.09,0
2020,Samsung,Midrange,Android,4G, YES$,No,3264,6.05,8,256,32,249,2.52,4.41,3
2021,Nokia,Midrange,Android,4G,Yes ,No,3951,6.02,6,256,48,248,2.74,4.8,3
2018, Huawei!,idrange,Adroid , 4G,No,No,3621,5.58,6,64,48,239,2.26,3.41,2
2018,Huawei ,Midrange,android,4G,Yes,No,3284,5.63,8,64,64,260,2.32,2.87,3
2022,Apple,Budget#,iOS,4G,No,No,3594,6.37,6,128,48,223,2.24,3.07,1
2020,Google,Budget,Android,4G,Yes,No,2661,5.63,4,64,24,228,2.01,4.72,1
2021,Xiaomi, BUDGET,Android,4G,No,No,3644,5.93,6,128,24,236,2.33,5.0,1
2023,Motorola,MIDRNGE,android,4G,No, NO !,3696,6.24,8,256,48,260,2.74,4.97,NA
2015,Xiaomi, BUDGET, ANDROID,4G,no,No,2365,4.64,3,NA,8,203,1.43,1.22,0
2016,Motorola,Midrange,Android,3G,No,No,3540,5.57,2,128,32,260,2.42,3.76,1
2016, Motorola,Budget,Android,3G,Yes,No,2553,NA,3,32,8,216,1.68,2.77,0
2015,OnePlus,MIDRANGE,Android,4g,Yes, No,2840,5.08,6,64,32,254,1.72,2.97,0
2021,Nokia,Budget,ANDROID,4G,No,No,3220,5.27,4,128,48,202,2.34,4.55,1
2022,Google,Midrange,Android,4G ,Yes,No,3481,6.64,8,256,48,260,2.38,5.0,2
2019,Samsung,Budget,Android, 4G#,No,No,3265,5.37,6,32,32,215,2.2,3.2,1
2019,Huawei,Budget,Android, 4G $,NA,No,3494,5.54,4,64,12,260,1.63,2.95,0
2020,onepus ,Budget,Android,4G,Yes,NO,3147,5.43,4,128,32,231,2.24,3.34,2
2022,oneplus,budget,Android,4G*,No,NO ,3626,5.6,8,64,32,243,2.38,3.16,2
2020, Nokia ,Budget, adroid,4G,Yes, NO ,2593,5.35,6,32,48,238,2.14,3.64,2
2019,HUAWEI,Midrange,Android,4G,Yes,No,3395,5.86,8,256,48,245,2.04,5.0,3
2021,Samsung,BUDGET,Android, 4G,Yes,No,3341,5.3,4,32,24,245,2.04,2.78,1
2020,Samsung,Budget,adroid*,4G,No,No ,3389,5.94,4,32,48,227,1.7,3.21,0
2020,Apple, MIDRANGE,iOS,4G,No, No,3292,6.19,6,256,48,260,2.57,4.44,2
2017,Oppo, BUDGET,Android,4G,No,No,3047,4.73,4,64,32,217,1.92,2.14,0
2020,Apple ,Budget,iOS,4G,No,No,3318,NA,6,32,32,248,1.6,3.36,0
2023,nokia ,Budget,android#,4g,Yes,No,2803,5.95,8,256,48,257,2.08,5.11,3
2020,Oppo,Budget,Android,4G,NO,No,2814,5.6,4,128,32,252,2.32,3.1,0
2015,Vivo,Midrange,Android,3G,yes,No,3275,4.95,2,128,32,248,2.16,2.84,1
2019,Oppo,Budget, ANDROID,4G ,Yes,No,3191,5.7,4,64,24,260,1.55,3.67,1
2023,Google,Budget,Android,4G ,Yes,No,3286,5.92,6,64,48,218,2.05,3.92,1
2015,Vivo,Budget,ANDROID,3G,Yes, no,2180,4.09,2,64,8,207,1.3,1.81,0
2020, APPLE , MIDRANGE , ios,4G,No,No,3298,NA,6,256,32,233,2.17,4.76,2
2020,samsung,Midrange,Android,4g,Yes,no ,3639,6.05,8,256,64,254,2.63,3.95,3
2023,OnePlus,Midrange,Android,5G,Yes,Yes,3324,6.12,8,256,48,258,2.53,4.26,3
2020,Motorola,Midrange,Android,4G,Yes,No,3040,5.95,8,256,32,249,2.29,3.47,2
2022,Vivo,Midrange,Android,4G,No, No ,3242,6.46,8,256,48,249,2.61,5.36,3
2016,Xiaomi,Budget, Android ,4G,Yes,No,2953,5.56,2,32,8,241,1.57,1.75,0
2022,Motorola,Budget,Android,4G,No,No,3400,5.43,6,128,48,241,2.16,4.01,2
2015,Oppo,Flagship,Android,3G,No,No,3378,5.34,4,128,48,242,2.72,3.66,0
2015,OnePlus,Midrange,Android,3G,Yes,No,3149,4.69,6,256,8,212,2.18,2.53,2
2022,Xiaomi,midrange,Android,4G,Yes,No,3761,5.41,8,256,48,236,2.24,4.73,3
NA,Samsung, Midrange,Android,4G,No, No ,4222,6.45,8,256,64,234,2.86,6.5,3
2022,OnePlus,Midrange,Android*,4G,Yes,no,3474,6.96,8,256,48,260,2.83,4.92,3
2019,Apple,Midrange,iOS, 4g,No,No,4384,5.94,6,128,32,260,2.66,4.19,2
2024,Xiaomi,MIDRANGE,ANDROID,4G,yes ,NA,3767,6.51,12,256,48,252,2.78,7.18,NA
2017,Nokia,budget,Android,3G,No,No,2268,4.61,4,128,32,239,1.94,3.46,0
2020,Samsung,Midrange,Android,4G,NO,No,3687,5.96,6,128,24,227,2.54,4.56,1
2016,Huawei,Flagship,Android,4G,Yes , no,3163,5.19,4,256,32,228,2.45,3.91,2
2018,Oppo,Midrange,Android,4G, Yes$,No,3250,5.89,6,128,64,255,2.25,3.26,1
2017,Sony,Budget,Android,3G ,Yes,No,2940,4.9,2,128,8,223,1.61,2.89,0
2020,Samsung,Flagship,Android,4G,No,No,3814,6.35,8,256,48,260,3.06,5.58,2
2015,apple,Flagship,iOS,4g!,No,No,3417,5.19,6,128,48,257,2.47,3.69,1
2024,Oppo,budet,Android,4G,YES ,No,3804,6.03,8,128,48,260,2.29,5.35,3
2024,Huawei,Flagship,HarmonyOS,5g#,Yes,yes ,NA,6.89,8,256,48,260,2.97,7.48,3
2015,Xiaomi,Budget,Android,3G,Yes,No ,2481,4.8,4,32,8,219,1.42,1.09,0
2016,Apple,Midrange, iOS, 4G!,No,NO $,3665,5.83,6,128,32,242,2.04,3.17,1
2019,Sony,budget,Android,4G,Yes,No,2822,5.04,6,64,24,214,2.0,3.16,NA
2016,Vivo, budget ,Android,3G,Yes,No,2751,4.85,2,32,12,237,1.74,2.51,0
2022,Samsung,Midrange,Android,5G,No,Yes,3363,6.0,12,256,64,230,2.52,4.67,3
2021,Apple, Flagship,iOS,4G*, NO, No ,3452,6.22,12,256,48,252,2.42,5.52,3
2017,Xiaomi,Budget ,andoid,3g#,Yes,NA,3018,5.74,3,128,32,221,1.56,2.1,0
2021, oneplus ,MIDRANG,Android,4G,Yes,No,3490,5.79,6,128,48,247,2.26,4.94,2
2015,Apple,Budget, iOS,3G,No,No,1922,4.63,2,32,8,231,1.52,2.04,0
2016,Samsung,Flagship,Android,3G,Yes, No,3138,5.93,6,128,48,246,2.28,4.08,2
