,Year,Brand,Model_Tier,Network_Type,Dual_Sim,Has5G,Battery_mAh,ScreenSize_in,RAM_GB,Storage_GB,Camera_MP,Weight_g,CPU_GHz,Resolution_MP,Price_Class
44,2018,Huawei,Budget,4g,yes,no,2775.0,5.09,4.0,64.0,16.0,210.0,2.24,3.25,0
46,2018,Apple,Midrange,4g,no,no,2770.0,5.52,6.0,64.0,16.0,233.0,2.25,4.0,1
47,2020,Google,Flagship,4g,yes,no,3620.0,6.73,8.0,256.0,48.0,260.0,2.96,5.69,2
48,2022,Huawei,Midrange,5g,yes,yes,3668.0,6.26,12.0,256.0,64.0,252.0,2.27,5.83,3
49,2021,Google,Midrange,4g,yes,no,3803.0,6.22,8.0,256.0,64.0,235.0,2.96,5.53,3
50,2024,Apple,Flagship,5g,no,yes,4693.0,6.94,12.0,256.0,64.0,260.0,2.98,7.23,3
52,2020,Apple,Midrange,4g,no,no,3565.0,5.84,8.0,128.0,48.0,222.0,2.23,4.89,2
53,2019,Sony,Budget,4g,yes,no,3146.0,5.15,4.0,64.0,16.0,259.0,1.87,2.75,0
54,2023,Motorola,Midrange,4g,yes,no,3352.0,6.55,8.0,128.0,64.0,260.0,2.4,5.03,2
55,2019,Xiaomi,Midrange,4g,yes,no,2941.0,5.15,6.0,128.0,24.0,255.0,1.98,3.41,1
56,2015,Apple,Flagship,3g,no,no,3370.0,5.56,4.0,256.0,32.0,244.0,2.08,4.08,2
57,2015,Xiaomi,Midrange,4g,yes,no,3521.0,5.72,4.0,128.0,24.0,257.0,1.95,2.78,0
59,2019,Huawei,Budget,4g,yes,no,3755.0,5.17,6.0,32.0,16.0,220.0,1.82,4.0,1
60,2017,Google,Midrange,3g,yes,no,3348.0,5.4,4.0,128.0,12.0,232.0,2.1,2.99,1
61,2017,Nokia,Midrange,4g,yes,no,2525.0,5.26,6.0,128.0,16.0,220.0,2.54,4.03,1
62,2022,Oneplus,Flagship,4g,yes,no,3332.84,5.74,12.0,256.0,48.0,243.0,3.09,5.26,3
63,2022,Xiaomi,Budget,5g,yes,yes,2821.0,5.55,6.0,256.0,48.0,248.0,2.04,3.69,2
64,2019,Samsung,Budget,4g,no,no,3250.0,5.43,4.0,64.0,24.0,256.0,2.01,2.92,0
65,2016,Motorola,Midrange,3g,yes,no,2847.0,5.56,6.0,128.0,24.0,251.0,1.93,3.36,1
66,2019,Oneplus,Midrange,4g,no,no,3662.0,6.02,6.0,128.0,32.0,247.0,2.5,3.76,0
68,2024,Huawei,Midrange,5g,yes,yes,4259.0,6.56,8.0,256.0,64.0,260.0,2.83,6.25,3
69,2024,Vivo,Budget,4g,yes,no,3915.0,5.93,6.0,128.0,48.0,257.0,2.15,5.37,2
70,2020,Vivo,Midrange,5g,yes,yes,3373.0,5.92,6.0,256.0,48.0,259.0,1.92,4.49,1
71,2021,Apple,Budget,4g,no,no,3607.0,5.58,6.0,128.0,32.0,243.0,2.46,3.58,2
72,2023,Oppo,Midrange,5g,no,yes,4484.0,6.26,8.0,256.0,64.0,258.0,2.67,5.29,2
74,2022,Motorola,Flagship,5g,no,yes,4250.0,6.63,12.0,256.0,64.0,253.0,3.08,6.21,3
75,2016,Xiaomi,Midrange,3g,yes,no,2677.0,5.25,6.0,32.0,16.0,257.0,1.88,3.31,0
76,2015,Vivo,Budget,4g,yes,no,2610.0,4.66,2.0,32.0,24.0,204.0,1.71,4.08,0
77,2019,Samsung,Budget,4g,yes,no,2915.0,5.05,4.0,32.0,32.0,240.0,1.86,3.53,0
78,2022,Xiaomi,Budget,4g,yes,no,3780.0,5.82,6.0,256.0,32.0,216.0,1.73,4.18,2
79,2021,Samsung,Budget,4g,no,no,3626.0,5.61,6.0,128.0,32.0,244.0,1.96,3.32,1
80,2018,Vivo,Budget,4g,yes,no,2516.0,5.75,6.0,128.0,16.0,246.0,2.0,3.0,1
81,2015,Nokia,Flagship,4g,no,no,3139.0,4.76,4.0,256.0,16.0,251.0,2.74,4.72,1
82,2019,Samsung,Flagship,4g,yes,no,3877.0,5.99,6.0,256.0,48.0,258.0,2.8,5.95,2
83,2024,Google,Midrange,4g,yes,no,4393.0,6.47,12.0,256.0,64.0,246.0,3.12,5.84,3
84,2018,Huawei,Flagship,4g,yes,no,3929.0,6.11,8.0,256.0,64.0,260.0,2.43,5.72,3
85,2016,Samsung,Budget,4g,yes,no,2824.0,4.76,2.0,64.0,32.0,209.0,1.33,3.1,1
86,2015,Nokia,Flagship,4g,yes,no,3201.0,5.61,8.0,256.0,32.0,257.0,2.47,4.64,3
87,2019,Vivo,Budget,4g,yes,no,3508.0,5.19,4.0,128.0,12.0,225.0,1.91,3.65,0
89,2018,Samsung,Budget,4g,yes,no,3450.0,5.42,3.0,128.0,24.0,248.0,1.98,3.91,0
90,2022,Apple,Midrange,4g,no,no,3442.0,5.99,8.0,128.0,32.0,246.0,2.66,4.95,2
91,2016,Google,Budget,4g,yes,no,2370.0,5.17,2.0,32.0,32.0,240.0,1.87,2.19,0
92,2024,Oppo,Budget,5g,yes,yes,3834.0,6.26,8.0,256.0,48.0,260.0,2.51,4.29,3
93,2021,Samsung,Budget,4g,no,no,3521.0,5.32,8.0,128.0,48.0,224.0,1.5,3.74,2
94,2018,Motorola,Midrange,4g,yes,no,3931.0,5.79,6.0,64.0,32.0,260.0,2.42,4.06,1
95,2017,Samsung,Midrange,4g,no,no,3582.0,5.8,8.0,256.0,16.0,254.0,2.39,4.71,1
96,2015,Oppo,Budget,4g,yes,no,2079.0,4.75,2.0,32.0,8.0,210.0,1.3,1.44,0
97,2020,Nokia,Budget,4g,no,no,2753.0,5.44,6.0,32.0,32.0,243.0,2.36,3.36,1
98,2021,Apple,Budget,4g,no,no,3342.0,5.54,3.0,128.0,32.0,235.0,2.28,3.66,0
99,2020,Motorola,Budget,4g,yes,no,2825.0,5.73,4.0,64.0,48.0,250.0,1.65,3.87,0
100,2024,Apple,Budget,4g,no,no,3710.0,5.99,8.0,128.0,32.0,216.0,2.42,4.09,2
101,2021,Xiaomi,Budget,4g,no,no,2984.0,5.22,4.0,128.0,48.0,208.0,2.27,4.02,1
102,2019,Oppo,Budget,4g,yes,no,3280.0,5.04,4.0,32.0,32.0,234.0,2.0,4.24,1
103,2020,Xiaomi,Midrange,4g,yes,no,3433.0,5.88,6.0,128.0,32.0,252.0,2.72,4.85,2
104,2022,Google,Midrange,5g,yes,yes,3857.0,6.06,6.0,256.0,48.0,234.0,2.38,5.25,2
105,2017,Motorola,Midrange,4g,yes,no,2810.0,6.03,4.0,256.0,48.0,244.0,2.09,2.95,1
106,2018,Xiaomi,Budget,4g,yes,no,2777.0,4.96,4.0,64.0,24.0,246.0,1.5,2.85,0
107,2022,Apple,Budget,4g,no,no,3161.0,5.32,6.0,128.0,48.0,245.0,2.4,4.24,2
108,2019,Oppo,Midrange,4g,no,no,3518.0,6.24,6.0,128.0,48.0,256.0,1.77,4.43,1
109,2024,Oneplus,Midrange,4g,yes,no,4184.0,6.91,8.0,256.0,48.0,257.0,3.0,5.95,3
110,2016,Oneplus,Flagship,3g,yes,no,3359.0,6.02,4.0,256.0,48.0,260.0,2.82,4.79,2
111,2020,Apple,Budget,4g,no,no,2753.0,5.26,6.0,64.0,32.0,207.0,2.03,2.57,0
112,2017,Vivo,Budget,4g,yes,no,2343.0,5.58,6.0,64.0,16.0,229.0,2.06,2.88,0
113,2020,Huawei,Midrange,4g,yes,no,3321.0,6.23,8.0,128.0,48.0,260.0,2.26,4.21,2
115,2017,Huawei,Midrange,4g,yes,no,3663.0,5.37,6.0,128.0,24.0,231.0,2.17,3.77,1
116,2021,Vivo,Budget,4g,yes,no,2972.0,5.91,6.0,128.0,32.0,260.0,1.57,4.12,0
117,2018,Huawei,Flagship,4g,yes,no,3854.0,5.82,8.0,256.0,32.0,254.0,2.53,4.57,2
118,2020,Samsung,Midrange,4g,yes,no,4052.0,5.71,6.0,256.0,32.0,260.0,1.92,4.83,2
119,2021,Apple,Midrange,4g,no,no,3508.0,6.14,8.0,128.0,48.0,239.0,2.45,4.44,3
121,2022,Apple,Budget,4g,no,no,3775.0,6.38,6.0,128.0,32.0,260.0,2.3,3.47,1
123,2015,Google,Flagship,3g,yes,no,3610.0,6.11,6.0,128.0,24.0,260.0,2.72,4.02,1
124,2024,Google,Flagship,5g,no,yes,4955.0,6.93,12.0,256.0,64.0,258.0,3.42,7.2,3
125,2017,Motorola,Budget,4g,yes,no,2786.0,5.06,4.0,32.0,16.0,199.0,1.56,2.37,0
126,2023,Nokia,Flagship,5g,no,yes,4166.0,6.98,12.0,256.0,64.0,260.0,3.53,5.85,3
127,2016,Apple,Midrange,3g,no,no,2864.0,5.79,3.0,128.0,32.0,253.0,2.38,2.92,1
128,2018,Oppo,Flagship,4g,yes,no,4637.0,5.85,8.0,256.0,32.0,249.0,2.91,6.26,3
129,2020,Apple,Flagship,4g,no,no,3800.0,5.9,8.0,256.0,48.0,241.78,3.01,5.6,2
130,2019,Oneplus,Budget,4g,no,no,2729.0,5.37,3.0,128.0,24.0,224.0,2.08,3.2,0
131,2020,Google,Midrange,4g,no,no,3236.0,5.86,6.0,256.0,32.0,258.0,2.09,4.39,2
132,2015,Vivo,Midrange,3g,yes,no,2324.0,4.75,2.0,64.0,8.0,229.0,2.18,2.99,0
133,2015,Sony,Budget,4g,no,no,2010.0,4.9,2.0,64.0,12.0,215.0,1.64,2.3,0
134,2020,Xiaomi,Budget,4g,yes,no,3050.0,5.58,4.0,32.0,24.0,260.0,1.96,3.54,0
135,2024,Apple,Flagship,5g,no,yes,4783.0,6.62,12.0,256.0,64.0,260.0,3.19,6.85,3
137,2024,Xiaomi,Budget,5g,yes,yes,3488.0,6.05,8.0,128.0,48.0,248.0,2.13,4.93,1
138,2019,Oneplus,Budget,4g,yes,no,3668.0,5.44,6.0,128.0,48.0,229.0,2.11,4.36,0
139,2022,Oppo,Midrange,4g,no,no,3350.0,6.05,8.0,128.0,48.0,240.0,2.69,4.91,1
140,2021,Samsung,Budget,4g,yes,no,3536.0,5.65,6.0,64.0,24.0,260.0,2.17,2.34,0
141,2016,Oppo,Budget,4g,yes,no,2917.0,5.47,2.0,32.0,8.0,231.0,1.2,1.57,0
142,2020,Huawei,Budget,4g,no,no,3388.0,5.74,4.0,32.0,32.0,229.0,1.87,2.32,0
144,2024,Apple,Midrange,4g,no,no,4324.0,6.3,12.0,256.0,64.0,255.0,2.66,6.36,3
145,2017,Apple,Budget,3g,no,no,2586.0,5.22,4.0,128.0,24.0,204.0,1.38,2.95,0
146,2024,Xiaomi,Budget,5g,yes,yes,3506.0,6.38,6.0,256.0,64.0,217.0,2.09,4.26,1
147,2019,Google,Budget,4g,yes,no,3085.0,5.55,4.0,128.0,32.0,217.0,2.19,3.67,1
148,2023,Google,Flagship,4g,yes,no,4014.0,6.58,12.0,256.0,64.0,248.0,2.79,6.54,3
150,2021,Oneplus,Budget,4g,no,no,3238.0,5.97,4.0,64.0,32.0,256.0,1.84,3.88,0
151,2022,Google,Flagship,5g,yes,yes,4141.0,6.53,12.0,256.0,64.0,253.0,2.9,5.65,3
152,2019,Samsung,Flagship,4g,yes,no,4328.0,6.29,6.0,256.0,48.0,260.0,2.85,5.23,3
154,2016,Samsung,Midrange,3g,yes,no,2445.0,5.58,6.0,128.0,16.0,243.0,1.81,3.07,1
155,2018,Vivo,Midrange,4g,yes,no,2904.0,5.63,8.0,128.0,48.0,236.0,2.36,3.77,1
156,2020,Vivo,Flagship,4g,yes,no,3332.84,6.25,6.0,256.0,64.0,260.0,2.35,5.93,3
158,2019,Oppo,Midrange,4g,yes,no,3183.0,5.45,4.0,256.0,48.0,238.0,2.27,4.2,1
159,2024,Google,Budget,5g,no,yes,3685.0,6.37,6.0,128.0,32.0,226.0,2.13,4.81,2
160,2016,Apple,Budget,3g,no,no,2624.0,4.64,2.0,64.0,12.0,221.0,1.61,2.72,0
161,2022,Motorola,Budget,4g,yes,no,3441.0,6.17,4.0,128.0,48.0,260.0,2.18,3.65,0
162,2015,Xiaomi,Flagship,4g,no,no,2633.0,4.74,4.0,256.0,48.0,247.0,2.46,4.66,2
163,2021,Vivo,Midrange,4g,yes,no,3078.0,6.04,8.0,256.0,48.0,249.0,2.25,4.72,2
164,2016,Huawei,Budget,4g,yes,no,2976.0,5.13,3.0,32.0,24.0,211.0,1.63,2.83,0
165,2023,Vivo,Flagship,5g,no,yes,4193.0,6.78,12.0,256.0,64.0,260.0,3.18,6.93,3
166,2018,Vivo,Budget,4g,yes,no,2562.0,4.98,4.0,32.0,32.0,241.78,1.63,2.52,0
167,2018,Samsung,Budget,4g,yes,no,2687.0,4.97,3.0,128.0,16.0,233.0,1.63,2.15,0
168,2017,Nokia,Midrange,4g,yes,no,3510.0,5.29,6.0,64.0,12.0,251.0,1.89,4.01,0
169,2019,Google,Budget,4g,yes,no,3788.0,5.72,4.0,64.0,16.0,250.0,2.07,3.83,0
170,2024,Samsung,Flagship,5g,yes,yes,4290.0,6.58,12.0,256.0,64.0,253.0,3.19,6.33,3
171,2016,Xiaomi,Midrange,4g,no,no,2775.0,4.68,6.0,128.0,24.0,229.0,2.0,2.31,1
172,2019,Google,Midrange,4g,yes,no,3181.0,5.62,8.0,256.0,32.0,236.0,2.67,2.98,2
173,2023,Vivo,Midrange,5g,yes,yes,3349.0,5.93,8.0,256.0,48.0,229.0,2.47,5.97,3
174,2024,Oppo,Midrange,5g,yes,yes,4301.0,6.6,12.0,256.0,64.0,259.0,3.1,5.94,3
175,2018,Xiaomi,Budget,4g,yes,no,2757.0,4.73,3.0,64.0,24.0,215.0,1.71,3.2,0
176,2019,Sony,Flagship,4g,yes,no,3263.0,6.43,8.0,128.0,48.0,260.0,3.17,5.33,3
177,2022,Sony,Budget,4g,yes,no,3238.0,6.46,8.0,128.0,32.0,260.0,2.16,4.65,2
178,2018,Xiaomi,Budget,4g,yes,no,3573.0,5.19,2.0,32.0,32.0,217.0,1.59,4.14,0
179,2024,Xiaomi,Midrange,5g,yes,yes,4064.0,5.99,8.0,256.0,48.0,257.0,2.86,5.78,3
180,2016,Samsung,Budget,3g,yes,no,2418.0,4.97,4.0,32.0,16.0,213.0,1.7,1.48,0
181,2017,Sony,Midrange,4g,yes,no,3197.0,5.32,6.0,256.0,32.0,260.0,2.14,4.54,1
182,2016,Oppo,Flagship,4g,no,no,3593.0,5.54,8.0,256.0,32.0,260.0,2.81,4.08,2
183,2017,Google,Flagship,3g,yes,no,3790.0,5.68,8.0,256.0,48.0,227.0,1.95,6.02,2
184,2023,Nokia,Midrange,4g,no,no,4297.0,6.78,12.0,256.0,48.0,236.0,2.75,5.83,3
185,2021,Samsung,Midrange,4g,yes,no,3506.0,5.96,8.0,256.0,64.0,219.0,2.03,4.26,3
186,2020,Xiaomi,Midrange,4g,no,no,3073.0,5.75,8.0,64.0,48.0,251.0,2.27,5.17,2
187,2022,Samsung,Midrange,4g,no,no,3827.0,5.96,8.0,128.0,64.0,241.0,2.49,5.42,2
188,2019,Apple,Budget,4g,no,no,2592.0,5.34,4.0,64.0,12.0,225.0,1.75,3.51,0
189,2021,Motorola,Budget,4g,yes,no,3550.0,6.19,6.0,64.0,48.0,260.0,2.18,3.59,0
190,2020,Huawei,Budget,4g,yes,no,2995.0,5.14,6.0,32.0,32.0,217.0,2.31,2.48,1
191,2016,Xiaomi,Midrange,4g,no,no,3444.0,5.62,4.0,128.0,32.0,249.0,2.22,4.55,1
192,2019,Sony,Budget,4g,no,no,2882.0,5.35,6.0,32.0,32.0,244.0,1.88,3.63,1
193,2021,Oneplus,Budget,4g,yes,no,3608.0,5.38,4.0,256.0,48.0,207.0,2.28,3.64,2
194,2020,Sony,Flagship,4g,yes,no,4134.0,6.22,8.0,256.0,64.0,228.0,3.01,4.81,3
195,2022,Vivo,Midrange,4g,yes,no,3553.0,6.75,8.0,256.0,48.0,244.0,2.67,5.46,3
196,2023,Google,Budget,4g,yes,no,3471.0,5.81,8.0,64.0,48.0,252.0,2.37,4.5,2
197,2022,Vivo,Midrange,5g,yes,yes,4798.0,6.32,8.0,256.0,64.0,230.0,2.07,5.04,3
198,2018,Oneplus,Budget,4g,no,no,1835.0,4.9,2.0,128.0,16.0,227.0,1.59,2.77,0
199,2016,Xiaomi,Budget,4g,yes,no,2907.0,5.17,2.0,32.0,12.0,240.0,1.86,2.24,0
200,2021,Oneplus,Budget,4g,yes,no,3427.0,6.01,6.0,128.0,32.0,251.0,2.92,3.72,1
201,2018,Apple,Budget,4g,no,no,2765.0,5.34,3.0,128.0,24.0,246.0,1.44,2.34,0
203,2024,Oppo,Flagship,5g,yes,yes,4305.0,6.89,12.0,256.0,64.0,255.0,3.6,6.58,3
204,2018,Vivo,Midrange,4g,no,no,3402.0,6.03,6.0,128.0,32.0,244.0,1.95,4.17,1
205,2018,Oneplus,Midrange,4g,no,no,3168.0,6.0,6.0,64.0,16.0,260.0,2.22,4.03,1
206,2018,Apple,Midrange,4g,no,no,3462.0,5.58,6.0,128.0,48.0,243.0,1.96,3.96,2
207,2017,Xiaomi,Midrange,4g,yes,no,3067.0,6.06,4.0,128.0,32.0,243.0,2.04,3.09,0
208,2020,Samsung,Midrange,4g,yes,no,3264.0,6.05,8.0,256.0,32.0,249.0,2.52,4.41,3
209,2021,Nokia,Midrange,4g,yes,no,3951.0,6.02,6.0,256.0,48.0,248.0,2.74,4.8,3
210,2018,Huawei,Midrange,4g,no,no,3621.0,5.58,6.0,64.0,48.0,239.0,2.26,3.41,2
211,2018,Huawei,Midrange,4g,yes,no,3284.0,5.63,8.0,64.0,64.0,260.0,2.32,2.87,3
212,2022,Apple,Budget,4g,no,no,3594.0,6.37,6.0,128.0,48.0,223.0,2.24,3.07,1
213,2020,Google,Budget,4g,yes,no,2661.0,5.63,4.0,64.0,24.0,228.0,2.01,4.72,1
214,2021,Xiaomi,Budget,4g,no,no,3644.0,5.93,6.0,128.0,24.0,236.0,2.33,5.0,1
215,2023,Motorola,Midrange,4g,no,no,3696.0,6.24,8.0,256.0,48.0,260.0,2.74,4.97,2
216,2015,Xiaomi,Budget,4g,no,no,2365.0,4.64,3.0,128.0,8.0,203.0,1.43,1.22,0
217,2016,Motorola,Midrange,3g,no,no,3540.0,5.57,2.0,128.0,32.0,260.0,2.42,3.76,1
218,2016,Motorola,Budget,3g,yes,no,2553.0,5.74,3.0,32.0,8.0,216.0,1.68,2.77,0
219,2015,Oneplus,Midrange,4g,yes,no,2840.0,5.08,6.0,64.0,32.0,254.0,1.72,2.97,0
220,2021,Nokia,Budget,4g,no,no,3220.0,5.27,4.0,128.0,48.0,202.0,2.34,4.55,1
221,2022,Google,Midrange,4g,yes,no,3481.0,6.64,8.0,256.0,48.0,260.0,2.38,5.0,2
222,2019,Samsung,Budget,4g,no,no,3265.0,5.37,6.0,32.0,32.0,215.0,2.2,3.2,1
224,2020,Oneplus,Budget,4g,yes,no,3147.0,5.43,4.0,128.0,32.0,231.0,2.24,3.34,2
225,2022,Oneplus,Budget,4g,no,no,3626.0,5.6,8.0,64.0,32.0,243.0,2.38,3.16,2
226,2020,Nokia,Budget,4g,yes,no,2593.0,5.35,6.0,32.0,48.0,238.0,2.14,3.64,2
227,2019,Huawei,Midrange,4g,yes,no,3395.0,5.86,8.0,256.0,48.0,245.0,2.04,5.0,3
228,2021,Samsung,Budget,4g,yes,no,3341.0,5.3,4.0,32.0,24.0,245.0,2.04,2.78,1
229,2020,Samsung,Budget,4g,no,no,3389.0,5.94,4.0,32.0,48.0,227.0,1.7,3.21,0
230,2020,Apple,Midrange,4g,no,no,3292.0,6.19,6.0,256.0,48.0,260.0,2.57,4.44,2
231,2017,Oppo,Budget,4g,no,no,3047.0,4.73,4.0,64.0,32.0,217.0,1.92,2.14,0
232,2020,Apple,Budget,4g,no,no,3318.0,5.74,6.0,32.0,32.0,248.0,1.6,3.36,0
233,2023,Nokia,Budget,4g,yes,no,2803.0,5.95,8.0,256.0,48.0,257.0,2.08,5.11,3
234,2020,Oppo,Budget,4g,no,no,2814.0,5.6,4.0,128.0,32.0,252.0,2.32,3.1,0
235,2015,Vivo,Midrange,3g,yes,no,3275.0,4.95,2.0,128.0,32.0,248.0,2.16,2.84,1
236,2019,Oppo,Budget,4g,yes,no,3191.0,5.7,4.0,64.0,24.0,260.0,1.55,3.67,1
237,2023,Google,Budget,4g,yes,no,3286.0,5.92,6.0,64.0,48.0,218.0,2.05,3.92,1
238,2015,Vivo,Budget,3g,yes,no,2180.0,4.09,2.0,64.0,8.0,207.0,1.3,1.81,0
239,2020,Apple,Midrange,4g,no,no,3298.0,5.74,6.0,256.0,32.0,233.0,2.17,4.76,2
240,2020,Samsung,Midrange,4g,yes,no,3639.0,6.05,8.0,256.0,64.0,254.0,2.63,3.95,3
241,2023,Oneplus,Midrange,5g,yes,yes,3324.0,6.12,8.0,256.0,48.0,258.0,2.53,4.26,3
242,2020,Motorola,Midrange,4g,yes,no,3040.0,5.95,8.0,256.0,32.0,249.0,2.29,3.47,2
243,2022,Vivo,Midrange,4g,no,no,3242.0,6.46,8.0,256.0,48.0,249.0,2.61,5.36,3
244,2016,Xiaomi,Budget,4g,yes,no,2953.0,5.56,2.0,32.0,8.0,241.0,1.57,1.75,0
245,2022,Motorola,Budget,4g,no,no,3400.0,5.43,6.0,128.0,48.0,241.0,2.16,4.01,2
246,2015,Oppo,Flagship,3g,no,no,3378.0,5.34,4.0,128.0,48.0,242.0,2.72,3.66,0
247,2015,Oneplus,Midrange,3g,yes,no,3149.0,4.69,6.0,256.0,8.0,212.0,2.18,2.53,2
248,2022,Xiaomi,Midrange,4g,yes,no,3761.0,5.41,8.0,256.0,48.0,236.0,2.24,4.73,3
250,2022,Oneplus,Midrange,4g,yes,no,3474.0,6.96,8.0,256.0,48.0,260.0,2.83,4.92,3
251,2019,Apple,Midrange,4g,no,no,4384.0,5.94,6.0,128.0,32.0,260.0,2.66,4.19,2
253,2017,Nokia,Budget,3g,no,no,2268.0,4.61,4.0,128.0,32.0,239.0,1.94,3.46,0
254,2020,Samsung,Midrange,4g,no,no,3687.0,5.96,6.0,128.0,24.0,227.0,2.54,4.56,1
255,2016,Huawei,Flagship,4g,yes,no,3163.0,5.19,4.0,256.0,32.0,228.0,2.45,3.91,2
256,2018,Oppo,Midrange,4g,yes,no,3250.0,5.89,6.0,128.0,64.0,255.0,2.25,3.26,1
257,2017,Sony,Budget,3g,yes,no,2940.0,4.9,2.0,128.0,8.0,223.0,1.61,2.89,0
258,2020,Samsung,Flagship,4g,no,no,3814.0,6.35,8.0,256.0,48.0,260.0,3.06,5.58,2
259,2015,Apple,Flagship,4g,no,no,3417.0,5.19,6.0,128.0,48.0,257.0,2.47,3.69,1
260,2024,Oppo,Budget,4g,yes,no,3804.0,6.03,8.0,128.0,48.0,260.0,2.29,5.35,3
261,2024,Huawei,Flagship,5g,yes,yes,3332.84,6.89,8.0,256.0,48.0,260.0,2.97,7.48,3
262,2015,Xiaomi,Budget,3g,yes,no,2481.0,4.8,4.0,32.0,8.0,219.0,1.42,1.09,0
263,2016,Apple,Midrange,4g,no,no,3665.0,5.83,6.0,128.0,32.0,242.0,2.04,3.17,1
